"id","fqdn/ip","finding","cve","cwe"
"FS_ECDHE_curves","hacksclusive.com/199.60.103.16","prime256v1 secp384r1 secp521r1 X25519","",""
"cert_signatureAlgorithm <hostCert#1>","hacksclusive.com/199.60.103.16","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","hacksclusive.com/199.60.103.16","RSA 2048 bits (exponent is 65537)","",""
"OCSP_stapling <hostCert#1>","hacksclusive.com/199.60.103.16","offered","",""
"cert_signatureAlgorithm <hostCert#2>","hacksclusive.com/199.60.103.16","ECDSA with SHA256","",""
"cert_keySize <hostCert#2>","hacksclusive.com/199.60.103.16","EC 256 bits (curve P-256)","",""
"OCSP_stapling <hostCert#2>","hacksclusive.com/199.60.103.16","offered","",""
"X-Content-Type-Options","hacksclusive.com/199.60.103.16","nosniff","",""
"Content-Security-Policy","hacksclusive.com/199.60.103.16","upgrade-insecure-requests","",""
"Referrer-Policy","hacksclusive.com/199.60.103.16","no-referrer-when-downgrade","",""
"Cache-Control","hacksclusive.com/199.60.103.16","s-maxage=10800, max-age=0","",""
"secure_renego","hacksclusive.com/199.60.103.16","supported","","CWE-310"
"secure_client_renego","hacksclusive.com/199.60.103.16","not vulnerable","CVE-2011-1473","CWE-310"
"FS_ECDHE_curves","hacksclusive.com/199.60.103.116","prime256v1 secp384r1 secp521r1 X25519","",""
"cert_signatureAlgorithm <hostCert#1>","hacksclusive.com/199.60.103.116","SHA256 with RSA","",""
"cert_keySize <hostCert#1>","hacksclusive.com/199.60.103.116","RSA 2048 bits (exponent is 65537)","",""
"OCSP_stapling <hostCert#1>","hacksclusive.com/199.60.103.116","offered","",""
"cert_signatureAlgorithm <hostCert#2>","hacksclusive.com/199.60.103.116","ECDSA with SHA256","",""
"cert_keySize <hostCert#2>","hacksclusive.com/199.60.103.116","EC 256 bits (curve P-256)","",""
"OCSP_stapling <hostCert#2>","hacksclusive.com/199.60.103.116","offered","",""
"X-Content-Type-Options","hacksclusive.com/199.60.103.116","nosniff","",""
"Content-Security-Policy","hacksclusive.com/199.60.103.116","upgrade-insecure-requests","",""
"Referrer-Policy","hacksclusive.com/199.60.103.116","no-referrer-when-downgrade","",""
"Cache-Control","hacksclusive.com/199.60.103.116","s-maxage=10800, max-age=0","",""
"secure_renego","hacksclusive.com/199.60.103.116","supported","","CWE-310"
"secure_client_renego","hacksclusive.com/199.60.103.116","not vulnerable","CVE-2011-1473","CWE-310"
